Unnamed: 0,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist
1664,0.0294,0.591,228347,0.649,0.0,3,0.133,-6.72,1,0.0417,90.00200000000001,4.0,0.48200000000000004,0,Fireflies,Owl City
1665,0.0314,0.5589999999999999,205933,0.882,1.7100000000000002e-05,3,0.605,-4.281000000000001,1,0.157,126.064,4.0,0.644,0,Good Time,Owl City
1666,0.0243,0.631,218093,0.838,0.0,11,0.0512,-6.817,0,0.0818,127.93799999999999,4.0,0.392,0,When Can I See You Again?,Owl City
1667,0.0002,0.55,213026,0.747,1.44e-06,2,0.113,-6.897,1,0.0334,128.014,4.0,0.185,0,Verge,Owl City
1668,0.0082,0.581,231707,0.526,0.00036899999999999997,11,0.113,-7.584,1,0.0265,166.15099999999998,4.0,0.551,0,Vanilla Twilight,Owl City
1734,0.0198,0.5710000000000001,199640,0.87,6.6e-06,8,0.0564,-3.877,0,0.0641,172.71599999999998,4.0,0.815,0,Bye Bye Bye,*NSYNC
1735,0.3,0.55,266293,0.563,0.0,2,0.122,-7.019,1,0.0313,166.00400000000002,4.0,0.462,0,This I Promise You - Radio Edit,*NSYNC
1736,0.0479,0.647,191280,0.87,0.0,0,0.0485,-4.702,0,0.0798,165.10299999999998,4.0,0.9059999999999999,0,It's Gonna Be Me,*NSYNC
1738,0.0743,0.754,199787,0.946,0.000391,8,0.401,-2.149,0,0.0403,112.042,4.0,0.865,0,I Want You Back - Radio Edit,*NSYNC
1739,0.0412,0.841,175520,0.866,0.0,11,0.212,-6.3420000000000005,1,0.11800000000000001,119.941,4.0,0.875,0,Pop - Radio Version,*NSYNC
1740,0.00799,0.685,209560,0.872,0.0,7,0.32299999999999995,-6.939,1,0.0321,110.046,4.0,0.8059999999999999,0,Tearin' up My Heart - Radio Edit,*NSYNC
1741,0.16,0.773,211907,0.8009999999999999,0.0,0,0.111,-5.562,1,0.0281,98.205,4.0,0.8,0,As Long as You Love Me,Backstreet Boys
1742,0.066,0.7979999999999999,232027,0.862,1.65e-06,11,0.168,-4.95,0,0.0336,100.031,4.0,0.893,0,Quit Playing Games (With My Heart),Backstreet Boys
1743,0.0877,0.527,287027,0.578,0.0,7,0.155,-6.0120000000000005,0,0.0283,162.11,3.0,0.35,0,I'll Never Break Your Heart,Backstreet Boys
1744,0.0563,0.7290000000000001,274827,0.561,0.0,1,0.0657,-7.162000000000001,1,0.027999999999999997,95.98100000000001,4.0,0.395,0,All I Have to Give,Backstreet Boys
1745,0.11699999999999999,0.6970000000000001,203600,0.856,0.0,10,0.287,-4.439,0,0.0752,104.20200000000001,4.0,0.732,0,The Call,Backstreet Boys
1746,0.24,0.6829999999999999,213027,0.687,0.0,6,0.131,-5.832999999999999,0,0.0274,99.035,4.0,0.486,0,I Want It That Way,Backstreet Boys
1747,0.245,0.634,234587,0.624,0.0,6,0.0767,-5.095,0,0.0255,167.99200000000002,4.0,0.6679999999999999,0,Show Me the Meaning of Being Lonely,Backstreet Boys
1748,0.252,0.5710000000000001,230280,0.77,0.0,9,0.154,-5.46,1,0.03,96.09,4.0,0.529,0,Shape of My Heart,Backstreet Boys
1827,0.0236,0.92,293827,0.654,0.0158,11,0.0359,-3.051,0,0.0401,117.046,4.0,0.856,0,Billie Jean,Michael Jackson
1828,0.0491,0.779,258040,0.867,7.98e-06,3,0.19699999999999998,-3.7039999999999997,0,0.0457,138.858,4.0,0.9179999999999999,0,Beat It - Single Version,Michael Jackson
1829,0.11,0.758,198507,0.927,0.0285,9,0.374,-2.7680000000000002,1,0.0509,115.07600000000001,4.0,0.953,0,Black or White - Single Version,Michael Jackson
1830,0.0367,0.608,297400,0.816,0.000554,1,0.11599999999999999,-5.926,1,0.11,114.484,4.0,0.49700000000000005,0,The Way You Make Me Feel,Michael Jackson
1831,0.43,0.794,319307,0.7979999999999999,1.15e-05,8,0.114,-5.638999999999999,1,0.0366,100.338,4.0,0.268,0,Man In The Mirror,Michael Jackson
1832,0.23,0.888,238733,0.815,0.000424,11,0.127,-4.909,0,0.0404,127.273,4.0,0.96,0,P.Y.T. (Pretty Young Thing),Michael Jackson
1910,0.0028,0.6859999999999999,211000,0.915,7.16e-06,7,0.233,-4.447,1,0.0364,110.054,4.0,0.784,0,Tearin' up My Heart - Radio Edit,*NSYNC
1915,0.161,0.667,213000,0.728,0.0,6,0.19899999999999998,-5.476,0,0.0272,99.014,4.0,0.449,0,I Want It That Way,Backstreet Boys
1919,0.0449,0.706,225253,0.893,1.04e-06,10,0.301,-4.355,0,0.0449,108.006,4.0,0.616,0,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys
1920,0.153,0.831,239227,0.9209999999999999,0.00213,5,0.305,-2.383,0,0.0581,108.00200000000001,4.0,0.8079999999999999,0,Remember the Time,Michael Jackson
1948,0.45299999999999996,0.511,406280,0.45299999999999996,0.000212,3,0.0865,-6.803,0,0.0314,138.309,4.0,0.142,0,Earth Song - Remastered Version,Michael Jackson
1968,0.0459,0.616,252040,0.91,0.0,0,0.34299999999999997,-3.0039999999999996,1,0.0386,144.07299999999998,4.0,0.684,0,Rockstar,Nickelback
1973,0.00135,0.446,223840,0.764,0.0,10,0.099,-5.042,1,0.033,172.09400000000002,4.0,0.52,0,How You Remind Me - LP Mix,Nickelback
1974,0.000204,0.614,211067,0.873,0.504,11,0.34600000000000003,-6.353,1,0.0616,132.07399999999998,4.0,0.615,0,Burn It To The Ground,Nickelback
1975,8.669999999999999e-05,0.485,249067,0.9109999999999999,0.0,3,0.092,-5.749,1,0.0355,89.956,4.0,0.55,0,If Today Was Your Last Day,Nickelback
1976,0.000102,0.446,190787,0.9,1.89e-05,10,0.0404,-3.5410000000000004,0,0.0489,187.96099999999998,4.0,0.884,0,When We Stand Together,Nickelback
